asv_name,sample,reads,nest_id,control_type
ASV_7704,e110_mul1806a1_17,11,e110,NA
ASV_7704,e117_mul1806a1_16,35,e117,NA
ASV_7704,e17_mul1806a1_18,0,e17,NA
ASV_7704,e25_mul1806a1_15,0,e25,NA
ASV_7704,e53_mul1806a1_20,0,e53,NA
ASV_7704,e62_mul1806a1_19,0,e62,NA
ASV_7704,j16_mul1806a1_5,0,j16,NA
ASV_7704,j18_mul1806a1_2,0,j18,NA
ASV_7704,j21_mul1806a1_4,0,j21,NA
ASV_7704,j23_mul1806a1_3,0,j23,NA
ASV_7704,j27_mul1806a1_6,0,j27,NA
ASV_7704,j46_mul1806a1_7,0,j46,NA
ASV_7704,j64_mul1806a1_1,0,j64,NA
ASV_7704,water1_mul1806a1_26,0,NA,water
ASV_7704,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7704,water4_cou1805a2_28,0,NA,water
ASV_7755,x0035_mul1806a1_24,84,NA,cloacal
ASV_7755,x0041_mul1806a1_22,0,NA,cloacal
ASV_7755,x0045_mul1806a1_23,0,NA,cloacal
ASV_7755,x0064_mul1806a1_21,33,NA,cloacal
ASV_7755,a122_mul1806a1_10,0,a122,NA
ASV_7755,a43_mul1806a1_13,0,a43,NA
ASV_7755,a56_mul1806a1_11,31,a56,NA
ASV_7755,a83_mul1806a1_12,0,a83,NA
ASV_7755,a91_mul1806a1_8,0,a91,NA
ASV_7755,a98_mul1806a1_9,0,a98,NA
ASV_7755,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7755,e105_mul1806a1_14,0,e105,NA
ASV_7755,e110_mul1806a1_17,0,e110,NA
ASV_7755,e117_mul1806a1_16,0,e117,NA
ASV_7755,e17_mul1806a1_18,0,e17,NA
ASV_7755,e25_mul1806a1_15,0,e25,NA
ASV_7755,e53_mul1806a1_20,0,e53,NA
ASV_7755,e62_mul1806a1_19,0,e62,NA
ASV_7755,j16_mul1806a1_5,0,j16,NA
ASV_7755,j18_mul1806a1_2,0,j18,NA
ASV_7755,j21_mul1806a1_4,22,j21,NA
ASV_7755,j23_mul1806a1_3,0,j23,NA
ASV_7755,j27_mul1806a1_6,0,j27,NA
ASV_7755,j46_mul1806a1_7,0,j46,NA
ASV_7755,j64_mul1806a1_1,0,j64,NA
ASV_7755,water1_mul1806a1_26,0,NA,water
ASV_7755,dogsample4_cou1805a2_27,0,NA,dogsample
ASV_7755,water4_cou1805a2_28,0,NA,water
ASV_7789,x0035_mul1806a1_24,0,NA,cloacal
ASV_7789,x0041_mul1806a1_22,0,NA,cloacal
ASV_7789,x0045_mul1806a1_23,0,NA,cloacal
ASV_7789,x0064_mul1806a1_21,0,NA,cloacal
ASV_7789,a122_mul1806a1_10,0,a122,NA
ASV_7789,a43_mul1806a1_13,0,a43,NA
ASV_7789,a56_mul1806a1_11,125,a56,NA
ASV_7789,a83_mul1806a1_12,0,a83,NA
ASV_7789,a91_mul1806a1_8,0,a91,NA
ASV_7789,a98_mul1806a1_9,0,a98,NA
ASV_7789,dogsample1_mul1806a1_25,0,NA,dogsample
ASV_7789,e105_mul1806a1_14,0,e105,NA
ASV_7789,e110_mul1806a1_17,0,e110,NA
ASV_7789,e117_mul1806a1_16,49,e117,NA
ASV_7789,e17_mul1806a1_18,0,e17,NA
ASV_7789,e25_mul1806a1_15,0,e25,NA
ASV_7789,e53_mul1806a1_20,1,e53,NA
ASV_7789,e62_mul1806a1_19,0,e62,NA
ASV_7789,j16_mul1806a1_5,0,j16,NA
ASV_7789,j18_mul1806a1_2,0,j18,NA
ASV_7789,j21_mul1806a1_4,1,j21,NA
ASV_7789,j23_mul1806a1_3,0,j23,NA
ASV_7789,j27_mul1806a1_6,0,j27,NA
ASV_7789,j46_mul1806a1_7,2,j46,NA
ASV_7789,j64_mul1806a1_1,0,j64,NA
